partida_idx,adversario,cnn_primeiro,numero_jogada,n_tracos_antes,jogada_cnn,jogada_otima,score_cnn,score_otimo,delta,cnn_jogou_otima,n_grau3_disponivel,fase,classe_delta,retrato_path
1001,Minimax(p=1),0,2,1,V_5_2,H_0_1,0,0,0,1,0,abertura,inocua,
1001,Minimax(p=1),0,4,3,V_5_0,H_0_1,0,0,0,1,0,abertura,inocua,
1001,Minimax(p=1),0,6,5,H_2_5,H_0_1,0,0,0,1,0,abertura,inocua,
1001,Minimax(p=1),0,8,7,H_0_1,H_0_1,0,0,0,1,0,abertura,inocua,
1001,Minimax(p=1),0,10,9,V_3_2,H_0_3,0,0,0,1,0,abertura,inocua,
1001,Minimax(p=1),0,12,11,V_7_2,H_0_3,0,0,0,1,0,meio,inocua,
1001,Minimax(p=1),0,14,13,V_7_4,V_7_4,1,1,0,1,1,meio,inocua,
1001,Minimax(p=1),0,15,14,V_1_2,V_1_0,-2,1,3,0,0,meio,moderada,
1001,Minimax(p=1),0,17,16,H_4_3,V_1_4,-3,1,4,0,0,meio,fatal,
1001,Minimax(p=1),0,19,18,H_6_1,H_6_1,7,7,0,1,1,meio,inocua,
1001,Minimax(p=1),0,20,19,H_4_1,H_4_1,7,7,0,1,1,meio,inocua,
1001,Minimax(p=1),0,21,20,H_2_1,H_2_1,7,7,0,1,1,meio,inocua,
1001,Minimax(p=1),0,22,21,V_1_0,V_1_0,7,7,0,1,1,meio,inocua,
1001,Minimax(p=1),0,23,22,H_0_5,H_0_5,7,7,0,1,0,meio,inocua,
1001,Minimax(p=1),0,25,24,V_1_4,V_1_4,7,7,0,1,1,meio,inocua,
1001,Minimax(p=1),0,26,25,H_2_3,H_2_3,6,6,0,1,1,transicao,inocua,
1001,Minimax(p=1),0,27,26,V_3_4,V_3_4,5,5,0,1,1,transicao,inocua,
1001,Minimax(p=1),0,28,27,H_4_5,H_4_5,4,4,0,1,1,transicao,inocua,
1001,Minimax(p=1),0,29,28,V_5_4,V_5_4,3,3,0,1,1,fim,inocua,
1001,Minimax(p=1),0,30,29,H_8_3,H_6_3,-2,2,4,0,1,fim,fatal,
1000,Minimax(p=1),0,2,1,V_5_2,H_0_1,0,0,0,1,0,abertura,inocua,
1000,Minimax(p=1),0,4,3,V_5_0,H_0_1,0,0,0,1,0,abertura,inocua,
1000,Minimax(p=1),0,6,5,V_5_6,H_0_1,0,0,0,1,0,abertura,inocua,
1000,Minimax(p=1),0,8,7,V_3_2,H_0_1,0,0,0,1,0,abertura,inocua,
1000,Minimax(p=1),0,10,9,H_0_1,H_0_1,0,0,0,1,0,abertura,inocua,
1000,Minimax(p=1),0,12,11,V_7_2,V_3_0,0,0,0,1,0,meio,inocua,
1000,Minimax(p=1),0,14,13,H_2_5,H_2_5,2,2,0,1,1,meio,inocua,
1000,Minimax(p=1),0,15,14,V_3_0,H_0_3,-2,-2,0,1,0,meio,inocua,
1000,Minimax(p=1),0,17,16,V_3_4,H_4_3,-2,2,4,0,1,meio,fatal,
1000,Minimax(p=1),0,18,17,H_4_3,H_4_3,-3,-3,0,1,1,meio,inocua,
1000,Minimax(p=1),0,19,18,V_7_6,V_5_4,-3,-3,0,1,0,meio,inocua,
1000,Minimax(p=1),0,21,20,H_2_1,H_2_1,5,5,0,1,2,meio,inocua,
1000,Minimax(p=1),0,22,21,V_1_2,V_1_2,5,5,0,1,2,meio,inocua,
1000,Minimax(p=1),0,23,22,H_0_3,H_0_3,5,5,0,1,2,meio,inocua,
1000,Minimax(p=1),0,24,23,H_6_1,H_6_1,4,4,0,1,1,meio,inocua,
1000,Minimax(p=1),0,25,24,V_7_0,V_7_0,3,3,0,1,0,meio,inocua,
1000,Minimax(p=1),0,28,27,H_6_5,H_6_3,4,4,0,1,2,transicao,inocua,
1000,Minimax(p=1),0,29,28,H_8_5,H_6_3,3,3,0,1,2,fim,inocua,
1000,Minimax(p=1),0,30,29,H_8_3,H_6_3,-2,2,4,0,1,fim,fatal,
0,Minimax(p=1),1,1,0,V_5_2,H_0_1,0,0,0,1,0,abertura,inocua,
0,Minimax(p=1),1,3,2,V_7_6,H_0_1,0,0,0,1,0,abertura,inocua,
