partida_idx,adversario,cnn_primeiro,numero_jogada,n_tracos_antes,jogada_cnn,jogada_otima,score_cnn,score_otimo,delta,cnn_jogou_otima,n_grau3_disponivel,fase,classe_delta,retrato_path
2,Minimax(p=3),1,1,0,V_5_2,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0002/jogada001_cnn_t00_d0_inocua.png
2,Minimax(p=3),1,3,2,V_5_0,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0002/jogada003_cnn_t02_d0_inocua.png
2,Minimax(p=3),1,5,4,V_3_6,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0002/jogada005_cnn_t04_d0_inocua.png
2,Minimax(p=3),1,7,6,H_0_1,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0002/jogada007_cnn_t06_d0_inocua.png
2,Minimax(p=3),1,9,8,H_2_5,H_0_3,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0002/jogada009_cnn_t08_d0_inocua.png
2,Minimax(p=3),1,11,10,H_6_5,H_0_5,0,0,0,1,0,meio,inocua,Minimax_p_3/cnn1_partida0002/jogada011_cnn_t10_d0_inocua.png
2,Minimax(p=3),1,13,12,V_5_6,H_0_5,0,0,0,1,0,meio,inocua,Minimax_p_3/cnn1_partida0002/jogada013_cnn_t12_d0_inocua.png
2,Minimax(p=3),1,15,14,V_3_2,H_4_1,-2,0,2,0,0,meio,moderada,Minimax_p_3/cnn1_partida0002/jogada015_cnn_t14_d2_moderada.png
2,Minimax(p=3),1,17,16,H_8_1,H_8_1,-2,-2,0,1,0,meio,inocua,Minimax_p_3/cnn1_partida0002/jogada017_cnn_t16_d0_inocua.png
2,Minimax(p=3),1,19,18,V_7_6,V_7_6,0,0,0,1,1,meio,inocua,Minimax_p_3/cnn1_partida0002/jogada019_cnn_t18_d0_inocua.png
2,Minimax(p=3),1,20,19,H_4_5,V_3_4,0,0,0,1,0,meio,inocua,Minimax_p_3/cnn1_partida0002/jogada020_cnn_t19_d0_inocua.png
2,Minimax(p=3),1,25,24,H_8_3,H_6_1,7,7,0,1,2,meio,inocua,Minimax_p_3/cnn1_partida0002/jogada025_cnn_t24_d0_inocua.png
2,Minimax(p=3),1,26,25,H_6_1,H_6_1,6,6,0,1,1,transicao,inocua,Minimax_p_3/cnn1_partida0002/jogada026_cnn_t25_d0_inocua.png
2,Minimax(p=3),1,27,26,H_4_1,H_4_1,5,5,0,1,1,transicao,inocua,Minimax_p_3/cnn1_partida0002/jogada027_cnn_t26_d0_inocua.png
2,Minimax(p=3),1,28,27,H_2_1,H_2_1,4,4,0,1,1,transicao,inocua,Minimax_p_3/cnn1_partida0002/jogada028_cnn_t27_d0_inocua.png
2,Minimax(p=3),1,29,28,V_1_2,V_1_2,3,3,0,1,1,fim,inocua,Minimax_p_3/cnn1_partida0002/jogada029_cnn_t28_d0_inocua.png
2,Minimax(p=3),1,30,29,H_0_5,V_1_4,-2,2,4,0,1,fim,fatal,Minimax_p_3/cnn1_partida0002/jogada030_cnn_t29_d4_fatal.png
6,Minimax(p=3),1,1,0,V_5_2,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0006/jogada001_cnn_t00_d0_inocua.png
6,Minimax(p=3),1,3,2,V_5_0,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0006/jogada003_cnn_t02_d0_inocua.png
6,Minimax(p=3),1,5,4,V_3_6,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0006/jogada005_cnn_t04_d0_inocua.png
6,Minimax(p=3),1,7,6,H_0_1,H_0_1,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0006/jogada007_cnn_t06_d0_inocua.png
6,Minimax(p=3),1,9,8,V_3_2,H_0_3,0,0,0,1,0,abertura,inocua,Minimax_p_3/cnn1_partida0006/jogada009_cnn_t08_d0_inocua.png
6,Minimax(p=3),1,11,10,V_5_6,H_0_3,0,0,0,1,0,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada011_cnn_t10_d0_inocua.png
6,Minimax(p=3),1,13,12,H_2_3,V_3_0,0,1,1,0,0,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada013_cnn_t12_d1_inocua.png
6,Minimax(p=3),1,15,14,V_1_6,V_1_2,-1,3,4,0,0,meio,fatal,Minimax_p_3/cnn1_partida0006/jogada015_cnn_t14_d4_fatal.png
6,Minimax(p=3),1,17,16,H_4_1,H_4_1,-2,-2,0,1,0,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada017_cnn_t16_d0_inocua.png
6,Minimax(p=3),1,20,19,V_5_4,V_3_4,9,9,0,1,2,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada020_cnn_t19_d0_inocua.png
6,Minimax(p=3),1,21,20,H_6_5,V_3_4,8,8,0,1,2,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada021_cnn_t20_d0_inocua.png
6,Minimax(p=3),1,22,21,H_8_5,V_3_4,6,6,0,1,2,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada022_cnn_t21_d0_inocua.png
6,Minimax(p=3),1,23,22,V_3_4,V_3_4,4,4,0,1,1,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada023_cnn_t22_d0_inocua.png
6,Minimax(p=3),1,24,23,H_2_5,H_2_5,3,3,0,1,1,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada024_cnn_t23_d0_inocua.png
6,Minimax(p=3),1,25,24,V_1_4,V_1_4,2,2,0,1,1,meio,inocua,Minimax_p_3/cnn1_partida0006/jogada025_cnn_t24_d0_inocua.png
6,Minimax(p=3),1,26,25,V_1_2,V_1_2,1,1,0,1,1,transicao,inocua,Minimax_p_3/cnn1_partida0006/jogada026_cnn_t25_d0_inocua.png
