arquivo,adversario,n_tracos,jogada_num,fase,n_grau3,aresta_cnn,score_cnn,arestas_corretas,score_otimo
cnn1_partida000_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_6,-2,V_1_4,2
cnn1_partida010_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_6,-2,V_1_4,2
cnn1_partida011_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_6,-2,V_3_4,2
cnn1_partida016_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_8_3,-2,V_7_2,2
cnn1_partida021_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,H_2_1,2
cnn1_partida025_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_7_0,-2,V_7_2,2
cnn1_partida028_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_2_1,2
cnn1_partida029_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_2_1,2
cnn1_partida030_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_4_1,2
cnn1_partida031_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_8_3,-2,H_6_3,2
cnn1_partida032_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_3,-2,H_2_3,2
cnn1_partida034_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_5_6,-2,V_5_4,2
cnn1_partida036_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_8_3,-2,H_6_3,2
cnn1_partida038_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_3,-2,H_2_3,2
cnn1_partida041_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_5,-2,V_1_4,2
cnn1_partida046_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_6,-2,V_1_4,2
cnn1_partida051_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,V_1_2,2
cnn1_partida053_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,V_1_2,2
cnn1_partida055_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_7_6,-2,V_7_4,2
cnn1_partida058_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_7_6,-2,H_6_5,2
cnn1_partida059_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_4_1,2
cnn1_partida061_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_6,-2,H_2_5,2
cnn1_partida063_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_5_0,-2,H_6_1,2
cnn1_partida064_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_5,-2,V_1_4,2
cnn1_partida065_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,H_2_1,2
cnn1_partida066_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,H_2_1,2
cnn1_partida070_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_5_6,-2,H_4_5,2
cnn1_partida072_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_3,-2,V_1_4,2
cnn1_partida082_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_4_1,2
cnn1_partida083_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_4_1,2
cnn1_partida086_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,H_2_1,2
cnn1_partida088_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_7_0,-2,H_6_1,2
cnn1_partida089_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_1,-2,H_2_1,2
cnn1_partida091_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_7_6,-2,V_7_4,2
cnn1_partida092_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_5_6,-2,H_4_5,2
cnn1_partida093_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_7_6,-2,V_7_4,2
cnn1_partida094_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_6,-2,H_4_5,2
cnn1_partida101_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_6,-2,V_1_4,2
cnn1_partida106_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,H_2_1,2
cnn1_partida107_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_7_6,-2,V_7_4,2
cnn1_partida108_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_8_5,-2,V_7_4,2
cnn1_partida109_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_0,-2,V_1_2,2
cnn1_partida110_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_3,-2,V_1_4,2
cnn1_partida112_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_3,-2,V_1_4,2
cnn1_partida113_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_6,-2,V_1_4,2
cnn1_partida114_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_5,-2,V_1_4,2
cnn1_partida115_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_0_1,-2,H_2_1,2
cnn1_partida116_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_2_1,2
cnn1_partida117_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_4_1,2
cnn1_partida119_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_8_1,-2,H_6_1,2
cnn1_partida120_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_1_6,-2,V_1_4,2
cnn1_partida122_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,H_8_1,-2,H_6_1,2
cnn1_partida124_jogada030.md,Minimax(p=1),29,30,Final (26-31),1,V_3_0,-2,H_2_1,2
